nombre,categoria,etiqueta,precio,imagen,,,,,,
Khamrah Clásico,ARABE,,116.18,https://simple.ripley.com.pe/perfume-khamrah-de-lattafa-eau-de-parfum-100-ml-unisex-pmp20000744168?srsltid=AfmBOop3C8ySfCqLRFN320TGg9c7Gyl5LgVu41l8qn5JsCMe_kxlVJL7,,,,,,
Khamrah Qahwa,ARABE,,116.18,https://http2.mlstatic.com/D_NQ_NP_902801-MLA84026799561_042025-O.webp,,,,,,
Khamrah Dukhan,ARABE,,119.73,https://lujoperfume.com/producto/khamrah-dukhan-edp-lattafa/?srsltid=AfmBOopcapAup7ckrRy_dGlzV57wYPVedtBhbRpINR8yy9qCPM9IwrXB,,,,,,
Sublime,ARABE,,107.12,"https://media.falabella.com/falabellaPE/20956254_2/w=1500,h=1500,fit=cover",,,,,,
Honor & Glory,ARABE,,103.75,https://rimage.ripley.com.pe/home.ripley/Attachment/MKP/5478/PMP20000744520/full_image-1.png,,,,,,
Amethyst,ARABE,,100.16,https://bestperfumesmiami.com/cdn/shop/files/Badee-Al-oud-Amethyst-Lattafa-Eau-de-parfum-100-ml-2-1.png?v=1700258572,,,,,,
Oud for glory,ARABE,,100.02,https://i0.wp.com/lujoperfume.com/wp-content/uploads/2023/09/Badee-Al-Oud-for-Glory-100-Ml-3.4-oz-EDP-by-Lattafa-11-1080x1080_resultado.webp?fit=1080%2C1080&ssl=1,,,,,,
Noble Blush,ARABE,,107.12,https://aztra.pe/cdn/shop/files/resizedImg_1000x1000_1_f7aeeb0d-6eae-46f5-ba87-ad07927a7478.jpg?v=1737735259&width=1000,,,,,,
Asad,ARABE,,103.57,"https://media.falabella.com/falabellaPE/20956251_2/w=1500,h=1500,fit=cover",,,,,,
Asad Bourbon,ARABE,,107.12,https://lujoperfume.com/wp-content/uploads/2025/01/Asad-Bourbon-100-Ml-3.4-oz-EDP-by-Lattafa-4_resultado.webp,,,,,,
Asad elixir,ARABE,,134.81,https://oechsle.vteximg.com.br/arquivos/ids/23493714-1000-1000/imageUrl_1.jpg?v=639017388925970000,,,,,,
Yara Elixir,ARABE,,128.42,https://http2.mlstatic.com/D_NQ_NP_854613-MLA95504248978_102025-O.webp,,,,,,
Yara Pink,ARABE,,107.12,https://simple.ripley.com.pe/product/_next/image?url=https%3A%2F%2Frimage.ripley.com.pe%2Fhome.ripley%2FAttachment%2FMKP%2F5478%2FPMP20000744505%2Ffull_image-1.png&w=3840&q=100,,,,,,
Yara Tous,ARABE,,100.02,https://plazavea.vteximg.com.br/arquivos/ids/31545893-418-418/imageUrl_1.jpg,,,,,,
Yara Moi,ARABE,,100.02,https://www.rp-luxury.com/28658-large_default/lattafa-yara-moi-eau-de-parfum-100-ml.jpg,,,,,,
Yara Candy,ARABE,,103.57,https://http2.mlstatic.com/D_Q_NP_929559-MLA80591868886_112024-O.webp,,,,,,
Fakhar,ARABE,,110.67,https://kicklooser.com/cdn/shop/files/CopiadeEnvio_16.png?v=1755993924,,,,,,
Fakhar Extrait,ARABE,,107.12,https://http2.mlstatic.com/D_NQ_NP_611963-MPE104387415027_012026-O.webp,,,,,,
Fakhar Rose,ARABE,,103.57,https://http2.mlstatic.com/D_NQ_NP_600470-MLA71892864326_092023-O.webp,,,,,,
Fakhar Platin,ARABE,,119.73,https://http2.mlstatic.com/D_NQ_NP_959020-MLA87122873436_072025-O.webp,,,,,,
